feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
activity__activity_met_1min__q10__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0,0,0,0,0,0,0,0,0,0.0522875817
activity__activity_met_1min__q10__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,0,0,0,0,0,-0.01627033792,0.01627033792,0.0522875817
activity__activity_met_1min__q10__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,0,0,0,0,0,0.0522875817,0.0522875817,0.0522875817
activity__activity_met_1min__q10__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.9,0.9,0.9,0,0.9,0,,0,0,0.02127659574
activity__activity_met_1min__q10__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.9,0.9,0.9,0,0.9,0,0,-0.02127659574,0.02127659574,0.02127659574
activity__activity_met_1min__q10__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.9,0.9,0.9,0,0.9,0,,0,0,0.02127659574
activity__activity_met_1min__q10__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q10__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q10__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q25__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0,0,0,0,0,0,0,0,0,0.02614379085
activity__activity_met_1min__q25__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,0,0,0,0,0,-0.02002503129,0.02002503129,0.02614379085
activity__activity_met_1min__q25__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,0,0,0,0,0,-0.02614379085,0.02614379085,0.02614379085
activity__activity_met_1min__q25__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.9,0.9,0.9,0,0.9,0,0,0,0,0.1006535948
activity__activity_met_1min__q25__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.9,0.9,0.9,0,0.9,0,0,-0.01176470588,0.01176470588,0.1006535948
activity__activity_met_1min__q25__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.9,0.9,0.9,0,0.9,0,0,0.1006535948,0.1006535948,0.1006535948
activity__activity_met_1min__q25__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q25__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q25__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q75__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.2,0.1,0.3,0.2,0.2,0,0,0,0,0.2980392157
activity__activity_met_1min__q75__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.2,0.115625,0.275,0.159375,0.2,0,0,-0.003254067584,0.003254067584,0.2980392157
activity__activity_met_1min__q75__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.1,0.1,0.2,0.1,0.2,-0.1,-0.8531825127,-0.2980392157,0.2980392157,0.2980392157
activity__activity_met_1min__q75__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,1.5,1.4,1.6,0.2,1.5,0,0,0,0,0.414379085
activity__activity_met_1min__q75__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,1.6,1.4,1.7,0.3,1.5,0.1,0.5291213326,0.1504380476,0.1504380476,0.414379085
activity__activity_met_1min__q75__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,1.3,1.3,1.5,0.2,1.5,-0.2,-1.349,-0.414379085,0.414379085,0.414379085
activity__activity_met_1min__q75__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q75__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q75__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q90__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.5,0.3,0.6025,0.3025,0.5,0,0,0,0,0.4026143791
activity__activity_met_1min__q90__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.5,0.3,0.6025,0.3025,0.5,0,0,-0.005506883605,0.005506883605,0.4026143791
activity__activity_met_1min__q90__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.25,0.2,0.5,0.3,0.5,-0.25,-1.119492437,-0.4026143791,0.4026143791,0.4026143791
activity__activity_met_1min__q90__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,2.21,1.9,2.6,0.7,2.21,0,0,0,0,0.3267973856
activity__activity_met_1min__q90__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,2.3,2.1,2.6,0.5,2.21,0.09,0.1995968105,0.02703379224,0.02703379224,0.3267973856
activity__activity_met_1min__q90__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,1.9,1.8,2.2,0.4,2.21,-0.31,-0.7335537862,-0.3267973856,0.3267973856,0.3267973856
activity__activity_met_1min__q90__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q90__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__q90__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_3__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.03194444444,0.02430555556,0.04131944444,0.01701388889,0.03194444444,0,0,0,0,0.3477124183
activity__activity_met_1min__ratio_ge_3__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.03506944444,0.02569444444,0.04270833333,0.01701388889,0.03194444444,0.003125,0.2477755102,0.09662077597,0.09662077597,0.3477124183
activity__activity_met_1min__ratio_ge_3__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.02534722222,0.01284722222,0.02638888889,0.01354166667,0.03194444444,-0.006597222222,-0.5787976429,-0.3477124183,0.3477124183,0.3477124183
activity__activity_met_1min__ratio_ge_3__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.05902777778,0.03402777778,0.07569444444,0.04166666667,0.05902777778,0,0,0,0,0.1947712418
activity__activity_met_1min__ratio_ge_3__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.05486111111,0.03697916667,0.08020833333,0.04322916667,0.05902777778,-0.004166666667,-0.1323947561,-0.008760951189,0.008760951189,0.1947712418
activity__activity_met_1min__ratio_ge_3__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.04861111111,0.01527777778,0.07291666667,0.05763888889,0.05902777778,-0.01041666667,-0.2794159309,-0.1947712418,0.1947712418,0.1947712418
activity__activity_met_1min__ratio_ge_3__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_3__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_3__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_6__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.003472222222,0.002083333333,0.00625,0.004166666667,0.003472222222,0,0,0,0,0.3307189542
activity__activity_met_1min__ratio_ge_6__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.003472222222,0.001475694444,0.006597222222,0.005121527778,0.003472222222,0,0,-0.08685857322,0.08685857322,0.3307189542
activity__activity_met_1min__ratio_ge_6__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.002083333333,0.001388888889,0.003472222222,0.002083333333,0.003472222222,-0.001388888889,-0.5687883418,-0.3307189542,0.3307189542,0.3307189542
activity__activity_met_1min__ratio_ge_6__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.002777777778,0.0006944444444,0.006944444444,0.00625,0.002777777778,0,0,0,0,0.1934640523
activity__activity_met_1min__ratio_ge_6__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.002430555556,0.0006944444444,0.005729166667,0.005034722222,0.002777777778,-0.0003472222222,-0.08253814081,-0.07259073842,0.07259073842,0.1934640523
activity__activity_met_1min__ratio_ge_6__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.0006944444444,0,0.008333333333,0.008333333333,0.002777777778,-0.002083333333,-0.3815548191,-0.1934640523,0.1934640523,0.1934640523
activity__activity_met_1min__ratio_ge_6__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_6__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__ratio_ge_6__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__std__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.2107038226,0.1657646967,0.2846476911,0.1188829944,0.2107038226,0,0,0,0,0.1450980392
activity__activity_met_1min__std__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.2200048735,0.1716908622,0.2793464627,0.1076556005,0.2107038226,0.009301050963,0.1106366588,0.0167709637,0.0167709637,0.1450980392
activity__activity_met_1min__std__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.1730983922,0.1597806587,0.260395774,0.1006151153,0.2107038226,-0.03760543037,-0.4606412606,-0.1450980392,0.1450980392,0.1450980392
activity__activity_met_1min__std__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.8815601881,0.7304268316,1.041552158,0.3111253265,0.8815601881,0,0,0,0,0.0954248366
activity__activity_met_1min__std__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.8618295785,0.7331484296,1.037548229,0.3043997992,0.8815601881,-0.01973060954,-0.0864790159,-0.03679599499,0.03679599499,0.0954248366
activity__activity_met_1min__std__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.8457541943,0.5850869804,1.071935121,0.4868481401,0.8815601881,-0.03580599377,-0.1182296627,-0.0954248366,0.0954248366,0.0954248366
activity__activity_met_1min__std__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__std__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__std__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,1440,1440,1440,0,1440,0,,0,0,0
activity__activity_met_1min__valid_count__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,1440,1440,1440,0,1440,0,,0,0,0
activity__activity_met_1min__valid_count__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,1440,1440,1440,0,1440,0,,0,0,0
activity__activity_met_1min__valid_count__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_count__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,1,1,1,0,1,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,1,1,1,0,1,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,1,1,1,0,1,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__valid_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_day_iqr,activity,activity_met_1min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_median,activity,activity_met_1min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_1min__zero_ratio__subject_missing_fraction,activity,activity_met_1min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,14,7,24.75,17.75,14,0,0,0,0,0.1607843137
activity__activity_met_min_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,9,7,23.375,16.375,14,-5,-0.3949908458,-0.1116395494,0.1116395494,0.1607843137
activity__activity_met_min_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,7,0,21,21,14,-7,-0.4856754358,-0.1607843137,0.1607843137,0.1607843137
activity__activity_met_min_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,6,0,19,19,6,0,0,0,0,0.07509386733
activity__activity_met_min_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,0,0,12,12,6,-6,-0.5093689981,-0.07509386733,0.07509386733,0.07509386733
activity__activity_met_min_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,0,0,29,29,6,-6,-0.3301611466,0.0339869281,0.0339869281,0.07509386733
activity__activity_met_min_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,3,2,3.5,1.5,3,0,0,0,0,0.122875817
activity__activity_met_min_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,3,2,3.25,1.25,3,0,0,-0.0337922403,0.0337922403,0.122875817
activity__activity_met_min_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,2,2,3.25,1.25,3,-1,-0.9770617713,-0.122875817,0.122875817,0.122875817
activity__activity_met_min_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,7,6,9,3,7,0,0,0,0,0.3124183007
activity__activity_met_min_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,8,6,9.5,3.5,7,1,0.413854308,0.1166458073,0.1166458073,0.3124183007
activity__activity_met_min_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,6,5,7,2,7,-1,-0.5291213326,-0.3124183007,0.3124183007,0.3124183007
activity__activity_met_min_inactive__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_inactive__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_inactive__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_low__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,76,58.25,102,43.75,76,0,0,0,0,0.4810457516
activity__activity_met_min_low__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,77,61.625,98.5,36.875,76,1,0.03334256526,0.04080100125,0.04080100125,0.4810457516
activity__activity_met_min_low__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,46.5,37.5,62,24.5,76,-29.5,-1.122378493,-0.4810457516,0.4810457516,0.4810457516
activity__activity_met_min_low__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,189.5,138,222,84,189.5,0,0,0,0,0.3751633987
activity__activity_met_min_low__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,201,144.75,235,90.25,189.5,11.5,0.1779458302,0.07984981227,0.07984981227,0.3751633987
activity__activity_met_min_low__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,97,81,191,110,189.5,-92.5,-1.275017854,-0.3751633987,0.3751633987,0.3751633987
activity__activity_met_min_low__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_low__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_low__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_medium__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,107,63.75,159.75,96,107,0,0,0,0,0.2078431373
activity__activity_met_min_medium__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,109.75,73.125,149.875,76.75,107,2.75,0.04268515034,0.0282853567,0.0282853567,0.2078431373
activity__activity_met_min_medium__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,70.5,32,146,114,107,-36.5,-0.4672248998,-0.2078431373,0.2078431373,0.2078431373
activity__activity_met_min_medium__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,148,67,219.5,152.5,148,0,0,0,0,0.1006535948
activity__activity_met_min_medium__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,128,67,242.25,175.25,148,-20,-0.1642424868,-0.01602002503,0.01602002503,0.1006535948
activity__activity_met_min_medium__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,156,26,183,157,148,8,0.06973091741,-0.1006535948,0.1006535948,0.1006535948
activity__activity_met_min_medium__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_medium__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_met_min_medium__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_non_wear__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,negative_control,0,CN,85,85,0,63,39.25,84.25,45,63,0,0,0,0,0.06274509804
activity__activity_non_wear__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,negative_control,1,MCI,47,47,0,64.5,36.375,88.75,52.375,63,1.5,0.04144228364,0.03153942428,0.03153942428,0.06274509804
activity__activity_non_wear__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,negative_control,2,DEM,9,9,0,70.25,12,75.25,63.25,63,7.25,0.1781829547,-0.06274509804,0.06274509804,0.06274509804
activity__activity_non_wear__subject_median,activity,daily_scalar,scalar,subject_median,negative_control,0,CN,85,85,0,0,0,29,29,0,0,0,0,0,0.07984981227
activity__activity_non_wear__subject_median,activity,daily_scalar,scalar,subject_median,negative_control,1,MCI,47,47,0,0,0,24.25,24.25,0,0,0,-0.07984981227,0.07984981227,0.07984981227
activity__activity_non_wear__subject_median,activity,daily_scalar,scalar,subject_median,negative_control,2,DEM,9,9,0,0,0,30,30,0,0,0,-0.003921568627,0.003921568627,0.07984981227
activity__activity_non_wear__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_non_wear__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_non_wear__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_rest__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,111.5,90,132,42,111.5,0,0,0,0,0.3307189542
activity__activity_rest__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,104,88,127.75,39.75,111.5,-7.5,-0.2474292382,-0.06708385482,0.06708385482,0.3307189542
activity__activity_rest__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,139.5,99,171.75,72.75,111.5,28,0.6358993523,0.3307189542,0.3307189542,0.3307189542
activity__activity_rest__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,505,461,580,119,505,0,0,0,0,0.5816993464
activity__activity_rest__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,516,468.5,573,104.5,505,11,0.1325088986,0.0423028786,0.0423028786,0.5816993464
activity__activity_rest__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,666,619,676,57,505,161,2.327841669,0.5816993464,0.5816993464,0.5816993464
activity__activity_rest__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
