feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__peak_sin__iqr,activity:variability,MCI_vs_CN,47,85,0.7454349263356992,0.6072063586819176,0.17471839799749686,0.22636656027362703,0.5873591989987484,0.0,0.17471839799749686
activity__event7__activity__circadian__peak_sin__iqr,activity:variability,DEM_vs_CN,9,85,0.9053300858899105,0.6072063586819176,0.20784313725490197,0.4401978304830483,0.6039215686274509,0.0,0.20784313725490197
activity__event7__activity__circadian__peak_sin__iqr,activity:variability,IMPAIRED_vs_CN,56,85,0.7909756150367535,0.6072063586819176,0.1800420168067227,0.28870078585454145,0.5900210084033614,0.0,0.1800420168067227
activity__event7__activity__circadian__peak_sin__mad,activity:variability,MCI_vs_CN,47,85,0.2329629131445342,0.2588190451025209,-0.08135168961201501,-0.09119996581017704,0.5406758448060075,0.0,0.08135168961201501
activity__event7__activity__circadian__peak_sin__mad,activity:variability,DEM_vs_CN,9,85,0.2865660924854932,0.2588190451025209,0.13986928104575164,0.09979245448125944,0.5699346405228758,0.0,0.13986928104575164
activity__event7__activity__circadian__peak_sin__mad,activity:variability,IMPAIRED_vs_CN,56,85,0.23707193402100657,0.2588190451025209,-0.04579831932773109,-0.07434869168015994,0.5228991596638655,0.0,0.04579831932773109
activity__event7__activity__circadian__peak_sin__theil_sen_rank_slope,activity:change,MCI_vs_CN,47,85,0.0,0.0,-0.14217772215269087,0.0,0.5710888610763454,0.0,0.14217772215269087
activity__event7__activity__circadian__peak_sin__theil_sen_rank_slope,activity:change,DEM_vs_CN,9,85,0.0,0.0,-0.0718954248366013,0.0,0.5359477124183006,0.0,0.0718954248366013
activity__event7__activity__circadian__peak_sin__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.0,0.0,-0.13088235294117648,0.0,0.5654411764705882,0.0,0.13088235294117648
activity__event7__activity__circadian__peak_sin__late_half_minus_early_half,activity:change,MCI_vs_CN,47,85,-0.07945931129894568,0.12940952255126045,-0.23229036295369213,-0.2561777593902307,0.616145181476846,0.0,0.23229036295369213
activity__event7__activity__circadian__peak_sin__late_half_minus_early_half,activity:change,DEM_vs_CN,9,85,0.2740940792943285,0.12940952255126045,0.13202614379084968,0.22491585560684985,0.5660130718954248,0.0,0.13202614379084968
